userId	geneSymbol	geneName	entrezgene	gLink
ALKBH6	ALKBH6	alkB homolog 6	84964	https://www.ncbi.nlm.nih.gov/gene/?term=84964
TMEM52B	TMEM52B	transmembrane protein 52B	120939	https://www.ncbi.nlm.nih.gov/gene/?term=120939
CRB2	CRB2	crumbs cell polarity complex component 2	286204	https://www.ncbi.nlm.nih.gov/gene/?term=286204
EXOSC6	EXOSC6	exosome component 6	118460	https://www.ncbi.nlm.nih.gov/gene/?term=118460
MUC21	MUC21	mucin 21, cell surface associated	394263	https://www.ncbi.nlm.nih.gov/gene/?term=394263
CHADL	CHADL	chondroadherin like	150356	https://www.ncbi.nlm.nih.gov/gene/?term=150356
SWSAP1	SWSAP1	SWIM-type zinc finger 7 associated protein 1	126074	https://www.ncbi.nlm.nih.gov/gene/?term=126074
GGT6	GGT6	gamma-glutamyltransferase 6	124975	https://www.ncbi.nlm.nih.gov/gene/?term=124975
VWA1	VWA1	von Willebrand factor A domain containing 1	64856	https://www.ncbi.nlm.nih.gov/gene/?term=64856
LRFN4	LRFN4	leucine rich repeat and fibronectin type III domain containing 4	78999	https://www.ncbi.nlm.nih.gov/gene/?term=78999
AMTN	AMTN	amelotin	401138	https://www.ncbi.nlm.nih.gov/gene/?term=401138
NAPRT	NAPRT	nicotinate phosphoribosyltransferase	93100	https://www.ncbi.nlm.nih.gov/gene/?term=93100
SIGLEC15	SIGLEC15	sialic acid binding Ig like lectin 15	284266	https://www.ncbi.nlm.nih.gov/gene/?term=284266
RNF165	RNF165	ring finger protein 165	494470	https://www.ncbi.nlm.nih.gov/gene/?term=494470
PTF1A	PTF1A	pancreas associated transcription factor 1a	256297	https://www.ncbi.nlm.nih.gov/gene/?term=256297
GDF7	GDF7	growth differentiation factor 7	151449	https://www.ncbi.nlm.nih.gov/gene/?term=151449
HRNR	HRNR	hornerin	388697	https://www.ncbi.nlm.nih.gov/gene/?term=388697
SPATA2L	SPATA2L	spermatogenesis associated 2 like	124044	https://www.ncbi.nlm.nih.gov/gene/?term=124044
TP53INP2	TP53INP2	tumor protein p53 inducible nuclear protein 2	58476	https://www.ncbi.nlm.nih.gov/gene/?term=58476
DMRTC2	DMRTC2	DMRT like family C2	63946	https://www.ncbi.nlm.nih.gov/gene/?term=63946
PIANP	PIANP	PILR alpha associated neural protein	196500	https://www.ncbi.nlm.nih.gov/gene/?term=196500
OSCAR	OSCAR	osteoclast associated, immunoglobulin-like receptor	126014	https://www.ncbi.nlm.nih.gov/gene/?term=126014
SYNE4	SYNE4	spectrin repeat containing nuclear envelope family member 4	163183	https://www.ncbi.nlm.nih.gov/gene/?term=163183
BOLL	BOLL	boule homolog, RNA binding protein	66037	https://www.ncbi.nlm.nih.gov/gene/?term=66037
KREMEN2	KREMEN2	kringle containing transmembrane protein 2	79412	https://www.ncbi.nlm.nih.gov/gene/?term=79412
MAPK1IP1L	MAPK1IP1L	mitogen-activated protein kinase 1 interacting protein 1 like	93487	https://www.ncbi.nlm.nih.gov/gene/?term=93487
NOXO1	NOXO1	NADPH oxidase organizer 1	124056	https://www.ncbi.nlm.nih.gov/gene/?term=124056
ZNRF2	ZNRF2	zinc and ring finger 2	223082	https://www.ncbi.nlm.nih.gov/gene/?term=223082
IL17D	IL17D	interleukin 17D	53342	https://www.ncbi.nlm.nih.gov/gene/?term=53342
TSKU	TSKU	tsukushi, small leucine rich proteoglycan	25987	https://www.ncbi.nlm.nih.gov/gene/?term=25987
NEU4	NEU4	neuraminidase 4	129807	https://www.ncbi.nlm.nih.gov/gene/?term=129807
TAF15	TAF15	TATA-box binding protein associated factor 15	8148	https://www.ncbi.nlm.nih.gov/gene/?term=8148
GATA6	GATA6	GATA binding protein 6	2627	https://www.ncbi.nlm.nih.gov/gene/?term=2627
PMEPA1	PMEPA1	prostate transmembrane protein, androgen induced 1	56937	https://www.ncbi.nlm.nih.gov/gene/?term=56937
HES6	HES6	hes family bHLH transcription factor 6	55502	https://www.ncbi.nlm.nih.gov/gene/?term=55502
HPDL	HPDL	4-hydroxyphenylpyruvate dioxygenase like	84842	https://www.ncbi.nlm.nih.gov/gene/?term=84842
ZBED3	ZBED3	zinc finger BED-type containing 3	84327	https://www.ncbi.nlm.nih.gov/gene/?term=84327
TOX2	TOX2	TOX high mobility group box family member 2	84969	https://www.ncbi.nlm.nih.gov/gene/?term=84969
FOXN4	FOXN4	forkhead box N4	121643	https://www.ncbi.nlm.nih.gov/gene/?term=121643
CDX2	CDX2	caudal type homeobox 2	1045	https://www.ncbi.nlm.nih.gov/gene/?term=1045
GDF15	GDF15	growth differentiation factor 15	9518	https://www.ncbi.nlm.nih.gov/gene/?term=9518
CCDC3	CCDC3	coiled-coil domain containing 3	83643	https://www.ncbi.nlm.nih.gov/gene/?term=83643
MXRA8	MXRA8	matrix remodeling associated 8	54587	https://www.ncbi.nlm.nih.gov/gene/?term=54587
HERPUD2	HERPUD2	HERPUD family member 2	64224	https://www.ncbi.nlm.nih.gov/gene/?term=64224
SOX7	SOX7	SRY-box 7	83595	https://www.ncbi.nlm.nih.gov/gene/?term=83595
DOHH	DOHH	deoxyhypusine hydroxylase	83475	https://www.ncbi.nlm.nih.gov/gene/?term=83475
RNF126	RNF126	ring finger protein 126	55658	https://www.ncbi.nlm.nih.gov/gene/?term=55658
SSBP3	SSBP3	single stranded DNA binding protein 3	23648	https://www.ncbi.nlm.nih.gov/gene/?term=23648
GATA5	GATA5	GATA binding protein 5	140628	https://www.ncbi.nlm.nih.gov/gene/?term=140628
PDF	PDF	peptide deformylase, mitochondrial	64146	https://www.ncbi.nlm.nih.gov/gene/?term=64146
EXOSC4	EXOSC4	exosome component 4	54512	https://www.ncbi.nlm.nih.gov/gene/?term=54512
HEYL	HEYL	hes related family bHLH transcription factor with YRPW motif-like	26508	https://www.ncbi.nlm.nih.gov/gene/?term=26508
DAZ3	DAZ3	deleted in azoospermia 3	57054	https://www.ncbi.nlm.nih.gov/gene/?term=57054
UBQLN4	UBQLN4	ubiquilin 4	56893	https://www.ncbi.nlm.nih.gov/gene/?term=56893
RLIM	RLIM	ring finger protein, LIM domain interacting	51132	https://www.ncbi.nlm.nih.gov/gene/?term=51132
HEY2	HEY2	hes related family bHLH transcription factor with YRPW motif 2	23493	https://www.ncbi.nlm.nih.gov/gene/?term=23493
DUX4	DUX4	double homeobox 4	100288687	https://www.ncbi.nlm.nih.gov/gene/?term=100288687
UBQLN2	UBQLN2	ubiquilin 2	29978	https://www.ncbi.nlm.nih.gov/gene/?term=29978
UBQLN1	UBQLN1	ubiquilin 1	29979	https://www.ncbi.nlm.nih.gov/gene/?term=29979
PROCR	PROCR	protein C receptor	10544	https://www.ncbi.nlm.nih.gov/gene/?term=10544
RNF6	RNF6	ring finger protein 6	6049	https://www.ncbi.nlm.nih.gov/gene/?term=6049
EPM2A	EPM2A	EPM2A, laforin glucan phosphatase	7957	https://www.ncbi.nlm.nih.gov/gene/?term=7957
SOX1	SOX1	SRY-box 1	6656	https://www.ncbi.nlm.nih.gov/gene/?term=6656
SELENOV	SELENOV	selenoprotein V	348303	https://www.ncbi.nlm.nih.gov/gene/?term=348303
SSBP2	SSBP2	single stranded DNA binding protein 2	23635	https://www.ncbi.nlm.nih.gov/gene/?term=23635
PRSS53	PRSS53	serine protease 53	339105	https://www.ncbi.nlm.nih.gov/gene/?term=339105
ERFE	ERFE	erythroferrone	151176	https://www.ncbi.nlm.nih.gov/gene/?term=151176
CT47A1	CT47A1	cancer/testis antigen family 47, member A1	728096	https://www.ncbi.nlm.nih.gov/gene/?term=728096
KLF17	KLF17	Kruppel like factor 17	128209	https://www.ncbi.nlm.nih.gov/gene/?term=128209
RNF44	RNF44	ring finger protein 44	22838	https://www.ncbi.nlm.nih.gov/gene/?term=22838
PUSL1	PUSL1	pseudouridine synthase like 1	126789	https://www.ncbi.nlm.nih.gov/gene/?term=126789
VGLL2	VGLL2	vestigial like family member 2	245806	https://www.ncbi.nlm.nih.gov/gene/?term=245806
PRSS33	PRSS33	serine protease 33	260429	https://www.ncbi.nlm.nih.gov/gene/?term=260429
KLF14	KLF14	Kruppel like factor 14	136259	https://www.ncbi.nlm.nih.gov/gene/?term=136259
DMRTB1	DMRTB1	DMRT like family B with proline rich C-terminal 1	63948	https://www.ncbi.nlm.nih.gov/gene/?term=63948
PRSS27	PRSS27	serine protease 27	83886	https://www.ncbi.nlm.nih.gov/gene/?term=83886
TIMM29	TIMM29	translocase of inner mitochondrial membrane 29	90580	https://www.ncbi.nlm.nih.gov/gene/?term=90580
UBQLN3	UBQLN3	ubiquilin 3	50613	https://www.ncbi.nlm.nih.gov/gene/?term=50613
HMX1	HMX1	H6 family homeobox 1	3166	https://www.ncbi.nlm.nih.gov/gene/?term=3166
TMEM223	TMEM223	transmembrane protein 223	79064	https://www.ncbi.nlm.nih.gov/gene/?term=79064
LRRC3C	LRRC3C	leucine rich repeat containing 3C	100505591	https://www.ncbi.nlm.nih.gov/gene/?term=100505591
AQP12B	AQP12B	aquaporin 12B	653437	https://www.ncbi.nlm.nih.gov/gene/?term=653437
TGFBR3L	TGFBR3L	transforming growth factor beta receptor 3 like	100507588	https://www.ncbi.nlm.nih.gov/gene/?term=100507588
PANO1	PANO1	proapoptotic nucleolar protein 1	101927423	https://www.ncbi.nlm.nih.gov/gene/?term=101927423
MAGEC1	MAGEC1	MAGE family member C1	9947	https://www.ncbi.nlm.nih.gov/gene/?term=9947
RBMXL2	RBMXL2	RBMX like 2	27288	https://www.ncbi.nlm.nih.gov/gene/?term=27288
KHDC1	KHDC1	KH domain containing 1	80759	https://www.ncbi.nlm.nih.gov/gene/?term=80759
LRRC73	LRRC73	leucine rich repeat containing 73	221424	https://www.ncbi.nlm.nih.gov/gene/?term=221424
TRNP1	TRNP1	TMF1-regulated nuclear protein 1	388610	https://www.ncbi.nlm.nih.gov/gene/?term=388610
PODNL1	PODNL1	podocan like 1	79883	https://www.ncbi.nlm.nih.gov/gene/?term=79883
EP400P1	EP400P1	EP400 pseudogene 1	347918	https://www.ncbi.nlm.nih.gov/gene/?term=347918
FJX1	FJX1	four-jointed box kinase 1	24147	https://www.ncbi.nlm.nih.gov/gene/?term=24147
AQP12A	AQP12A	aquaporin 12A	375318	https://www.ncbi.nlm.nih.gov/gene/?term=375318
FAM131C	FAM131C	family with sequence similarity 131 member C	348487	https://www.ncbi.nlm.nih.gov/gene/?term=348487
FBXL8	FBXL8	F-box and leucine rich repeat protein 8	55336	https://www.ncbi.nlm.nih.gov/gene/?term=55336
RBMXL1	RBMXL1	RBMX like 1	494115	https://www.ncbi.nlm.nih.gov/gene/?term=494115
MYEOV	MYEOV	myeloma overexpressed	26579	https://www.ncbi.nlm.nih.gov/gene/?term=26579
NEURL2	NEURL2	neuralized E3 ubiquitin protein ligase 2	140825	https://www.ncbi.nlm.nih.gov/gene/?term=140825
HGH1	HGH1	HGH1 homolog	51236	https://www.ncbi.nlm.nih.gov/gene/?term=51236
SSBP4	SSBP4	single stranded DNA binding protein 4	170463	https://www.ncbi.nlm.nih.gov/gene/?term=170463
SCAND2P	SCAND2P	SCAN domain containing 2 pseudogene	54581	https://www.ncbi.nlm.nih.gov/gene/?term=54581
PCED1A	PCED1A	PC-esterase domain containing 1A	64773	https://www.ncbi.nlm.nih.gov/gene/?term=64773
VCX3B	VCX3B	variable charge X-linked 3B	425054	https://www.ncbi.nlm.nih.gov/gene/?term=425054
TMEM82	TMEM82	transmembrane protein 82	388595	https://www.ncbi.nlm.nih.gov/gene/?term=388595
PRR23A	PRR23A	proline rich 23A	729627	https://www.ncbi.nlm.nih.gov/gene/?term=729627
IGLON5	IGLON5	IgLON family member 5	402665	https://www.ncbi.nlm.nih.gov/gene/?term=402665
GLTPD2	GLTPD2	glycolipid transfer protein domain containing 2	388323	https://www.ncbi.nlm.nih.gov/gene/?term=388323
LRRC10B	LRRC10B	leucine rich repeat containing 10B	390205	https://www.ncbi.nlm.nih.gov/gene/?term=390205
ANKRD63	ANKRD63	ankyrin repeat domain 63	100131244	https://www.ncbi.nlm.nih.gov/gene/?term=100131244
ANKRD65	ANKRD65	ankyrin repeat domain 65	441869	https://www.ncbi.nlm.nih.gov/gene/?term=441869
RNF225	RNF225	ring finger protein 225	646862	https://www.ncbi.nlm.nih.gov/gene/?term=646862
CT47B1	CT47B1	cancer/testis antigen family 47, member B1	643311	https://www.ncbi.nlm.nih.gov/gene/?term=643311
DUX4L2	DUX4L2	double homeobox 4 like 2 (pseudogene)	728410	https://www.ncbi.nlm.nih.gov/gene/?term=728410
DUX4L3	DUX4L3	double homeobox 4 like 3 (pseudogene)	653548	https://www.ncbi.nlm.nih.gov/gene/?term=653548
DUX4L4	DUX4L4	double homeobox 4 like 4 (pseudogene)	441056	https://www.ncbi.nlm.nih.gov/gene/?term=441056
DUX4L5	DUX4L5	double homeobox 4 like 5 (pseudogene)	653545	https://www.ncbi.nlm.nih.gov/gene/?term=653545
DUX4L6	DUX4L6	double homeobox 4 like 6 (pseudogene)	653544	https://www.ncbi.nlm.nih.gov/gene/?term=653544
DUX4L7	DUX4L7	double homeobox 4 like 7 (pseudogene)	653543	https://www.ncbi.nlm.nih.gov/gene/?term=653543
LINC01547	LINC01547	long intergenic non-protein coding RNA 1547	84536	https://www.ncbi.nlm.nih.gov/gene/?term=84536
PRR20E	PRR20E	proline rich 20E	729250	https://www.ncbi.nlm.nih.gov/gene/?term=729250
PRR20A	PRR20A	proline rich 20A	122183	https://www.ncbi.nlm.nih.gov/gene/?term=122183
ASPHD1	ASPHD1	aspartate beta-hydroxylase domain containing 1	253982	https://www.ncbi.nlm.nih.gov/gene/?term=253982
TMEM268	TMEM268	transmembrane protein 268	203197	https://www.ncbi.nlm.nih.gov/gene/?term=203197
TMEM200B	TMEM200B	transmembrane protein 200B	399474	https://www.ncbi.nlm.nih.gov/gene/?term=399474
PRR27	PRR27	proline rich 27	401137	https://www.ncbi.nlm.nih.gov/gene/?term=401137
TMEM53	TMEM53	transmembrane protein 53	79639	https://www.ncbi.nlm.nih.gov/gene/?term=79639
DLEU7	DLEU7	deleted in lymphocytic leukemia 7	220107	https://www.ncbi.nlm.nih.gov/gene/?term=220107
ARIH2OS	ARIH2OS	ariadne RBR E3 ubiquitin protein ligase 2 opposite strand	646450	https://www.ncbi.nlm.nih.gov/gene/?term=646450
RBMXL3	RBMXL3	RBMX like 3	139804	https://www.ncbi.nlm.nih.gov/gene/?term=139804
PRR25	PRR25	proline rich 25	388199	https://www.ncbi.nlm.nih.gov/gene/?term=388199
PRR33	PRR33	proline rich 33	102724536	https://www.ncbi.nlm.nih.gov/gene/?term=102724536
PRR20G	PRR20G	proline rich 20G	100419008	https://www.ncbi.nlm.nih.gov/gene/?term=100419008
PRR20B	PRR20B	proline rich 20B	729233	https://www.ncbi.nlm.nih.gov/gene/?term=729233
TPRXL	TPRXL	tetrapeptide repeat homeobox like	348825	https://www.ncbi.nlm.nih.gov/gene/?term=348825
