userId	geneSymbol	geneName	entrezgene	gLink
TNFSF14	TNFSF14	TNF superfamily member 14	8740	https://www.ncbi.nlm.nih.gov/gene/?term=8740
LAT	LAT	linker for activation of T cells	27040	https://www.ncbi.nlm.nih.gov/gene/?term=27040
DNPH1	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	10591	https://www.ncbi.nlm.nih.gov/gene/?term=10591
HYAL3	HYAL3	hyaluronidase 3	8372	https://www.ncbi.nlm.nih.gov/gene/?term=8372
EFNA2	EFNA2	ephrin A2	1943	https://www.ncbi.nlm.nih.gov/gene/?term=1943
TBX19	TBX19	T-box 19	9095	https://www.ncbi.nlm.nih.gov/gene/?term=9095
SDC3	SDC3	syndecan 3	9672	https://www.ncbi.nlm.nih.gov/gene/?term=9672
SS18L1	SS18L1	SS18L1, nBAF chromatin remodeling complex subunit	26039	https://www.ncbi.nlm.nih.gov/gene/?term=26039
GADD45B	GADD45B	growth arrest and DNA damage inducible beta	4616	https://www.ncbi.nlm.nih.gov/gene/?term=4616
NME6	NME6	NME/NM23 nucleoside diphosphate kinase 6	10201	https://www.ncbi.nlm.nih.gov/gene/?term=10201
MAF	MAF	MAF bZIP transcription factor	4094	https://www.ncbi.nlm.nih.gov/gene/?term=4094
CREG1	CREG1	cellular repressor of E1A stimulated genes 1	8804	https://www.ncbi.nlm.nih.gov/gene/?term=8804
CTAG2	CTAG2	cancer/testis antigen 2	30848	https://www.ncbi.nlm.nih.gov/gene/?term=30848
CEACAM4	CEACAM4	carcinoembryonic antigen related cell adhesion molecule 4	1089	https://www.ncbi.nlm.nih.gov/gene/?term=1089
MMP23B	MMP23B	matrix metallopeptidase 23B	8510	https://www.ncbi.nlm.nih.gov/gene/?term=8510
CCN5	CCN5	cellular communication network factor 5	8839	https://www.ncbi.nlm.nih.gov/gene/?term=8839
GADD45G	GADD45G	growth arrest and DNA damage inducible gamma	10912	https://www.ncbi.nlm.nih.gov/gene/?term=10912
TNFRSF6B	TNFRSF6B	TNF receptor superfamily member 6b	8771	https://www.ncbi.nlm.nih.gov/gene/?term=8771
BAG4	BAG4	BCL2 associated athanogene 4	9530	https://www.ncbi.nlm.nih.gov/gene/?term=9530
GNAS	GNAS	GNAS complex locus	2778	https://www.ncbi.nlm.nih.gov/gene/?term=2778
EFEMP2	EFEMP2	EGF containing fibulin extracellular matrix protein 2	30008	https://www.ncbi.nlm.nih.gov/gene/?term=30008
PRH1	PRH1	proline rich protein HaeIII subfamily 1	5554	https://www.ncbi.nlm.nih.gov/gene/?term=5554
AMH	AMH	anti-Mullerian hormone	268	https://www.ncbi.nlm.nih.gov/gene/?term=268
CD3D	CD3D	CD3d molecule	915	https://www.ncbi.nlm.nih.gov/gene/?term=915
HSPB1	HSPB1	heat shock protein family B (small) member 1	3315	https://www.ncbi.nlm.nih.gov/gene/?term=3315
INHA	INHA	inhibin subunit alpha	3623	https://www.ncbi.nlm.nih.gov/gene/?term=3623
REG1A	REG1A	regenerating family member 1 alpha	5967	https://www.ncbi.nlm.nih.gov/gene/?term=5967
CRH	CRH	corticotropin releasing hormone	1392	https://www.ncbi.nlm.nih.gov/gene/?term=1392
KLK1	KLK1	kallikrein 1	3816	https://www.ncbi.nlm.nih.gov/gene/?term=3816
THBD	THBD	thrombomodulin	7056	https://www.ncbi.nlm.nih.gov/gene/?term=7056
CRYGC	CRYGC	crystallin gamma C	1420	https://www.ncbi.nlm.nih.gov/gene/?term=1420
CRYGD	CRYGD	crystallin gamma D	1421	https://www.ncbi.nlm.nih.gov/gene/?term=1421
ELANE	ELANE	elastase, neutrophil expressed	1991	https://www.ncbi.nlm.nih.gov/gene/?term=1991
SOD3	SOD3	superoxide dismutase 3	6649	https://www.ncbi.nlm.nih.gov/gene/?term=6649
CTSG	CTSG	cathepsin G	1511	https://www.ncbi.nlm.nih.gov/gene/?term=1511
FGF2	FGF2	fibroblast growth factor 2	2247	https://www.ncbi.nlm.nih.gov/gene/?term=2247
SNRPC	SNRPC	small nuclear ribonucleoprotein polypeptide C	6631	https://www.ncbi.nlm.nih.gov/gene/?term=6631
CD7	CD7	CD7 molecule	924	https://www.ncbi.nlm.nih.gov/gene/?term=924
CSF3	CSF3	colony stimulating factor 3	1440	https://www.ncbi.nlm.nih.gov/gene/?term=1440
CFC1	CFC1	cripto, FRL-1, cryptic family 1	55997	https://www.ncbi.nlm.nih.gov/gene/?term=55997
RAB34	RAB34	RAB34, member RAS oncogene family	83871	https://www.ncbi.nlm.nih.gov/gene/?term=83871
RBMY1A1	RBMY1A1	RNA binding motif protein, Y-linked, family 1, member A1	5940	https://www.ncbi.nlm.nih.gov/gene/?term=5940
PGA4	PGA4	pepsinogen 4, group I (pepsinogen A)	643847	https://www.ncbi.nlm.nih.gov/gene/?term=643847
PGA3	PGA3	pepsinogen 3, group I (pepsinogen A)	643834	https://www.ncbi.nlm.nih.gov/gene/?term=643834
CGB3	CGB3	chorionic gonadotropin subunit beta 3	1082	https://www.ncbi.nlm.nih.gov/gene/?term=1082
SRGN	SRGN	serglycin	5552	https://www.ncbi.nlm.nih.gov/gene/?term=5552
BCL2	BCL2	BCL2, apoptosis regulator	596	https://www.ncbi.nlm.nih.gov/gene/?term=596
MGST1	MGST1	microsomal glutathione S-transferase 1	4257	https://www.ncbi.nlm.nih.gov/gene/?term=4257
RNASE3	RNASE3	ribonuclease A family member 3	6037	https://www.ncbi.nlm.nih.gov/gene/?term=6037
GP1BB	GP1BB	glycoprotein Ib platelet subunit beta	2812	https://www.ncbi.nlm.nih.gov/gene/?term=2812
PRG2	PRG2	proteoglycan 2, pro eosinophil major basic protein	5553	https://www.ncbi.nlm.nih.gov/gene/?term=5553
HOXB1	HOXB1	homeobox B1	3211	https://www.ncbi.nlm.nih.gov/gene/?term=3211
SNRPB	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1	6628	https://www.ncbi.nlm.nih.gov/gene/?term=6628
GP9	GP9	glycoprotein IX platelet	2815	https://www.ncbi.nlm.nih.gov/gene/?term=2815
MUC1	MUC1	mucin 1, cell surface associated	4582	https://www.ncbi.nlm.nih.gov/gene/?term=4582
LGALS3	LGALS3	galectin 3	3958	https://www.ncbi.nlm.nih.gov/gene/?term=3958
IGFBP3	IGFBP3	insulin like growth factor binding protein 3	3486	https://www.ncbi.nlm.nih.gov/gene/?term=3486
SPI1	SPI1	Spi-1 proto-oncogene	6688	https://www.ncbi.nlm.nih.gov/gene/?term=6688
ADCYAP1	ADCYAP1	adenylate cyclase activating polypeptide 1	116	https://www.ncbi.nlm.nih.gov/gene/?term=116
LAG3	LAG3	lymphocyte activating 3	3902	https://www.ncbi.nlm.nih.gov/gene/?term=3902
PGC	PGC	progastricsin	5225	https://www.ncbi.nlm.nih.gov/gene/?term=5225
AZU1	AZU1	azurocidin 1	566	https://www.ncbi.nlm.nih.gov/gene/?term=566
TBP	TBP	TATA-box binding protein	6908	https://www.ncbi.nlm.nih.gov/gene/?term=6908
BCL3	BCL3	BCL3, transcription coactivator	602	https://www.ncbi.nlm.nih.gov/gene/?term=602
NFYA	NFYA	nuclear transcription factor Y subunit alpha	4800	https://www.ncbi.nlm.nih.gov/gene/?term=4800
F8A1	F8A1	coagulation factor VIII associated 1	8263	https://www.ncbi.nlm.nih.gov/gene/?term=8263
GADD45A	GADD45A	growth arrest and DNA damage inducible alpha	1647	https://www.ncbi.nlm.nih.gov/gene/?term=1647
ZFP36	ZFP36	ZFP36 ring finger protein	7538	https://www.ncbi.nlm.nih.gov/gene/?term=7538
GDF1	GDF1	growth differentiation factor 1	2657	https://www.ncbi.nlm.nih.gov/gene/?term=2657
ATP5F1D	ATP5F1D	ATP synthase F1 subunit delta	513	https://www.ncbi.nlm.nih.gov/gene/?term=513
TLX1	TLX1	T cell leukemia homeobox 1	3195	https://www.ncbi.nlm.nih.gov/gene/?term=3195
SDC4	SDC4	syndecan 4	6385	https://www.ncbi.nlm.nih.gov/gene/?term=6385
OTX1	OTX1	orthodenticle homeobox 1	5013	https://www.ncbi.nlm.nih.gov/gene/?term=5013
OTX2	OTX2	orthodenticle homeobox 2	5015	https://www.ncbi.nlm.nih.gov/gene/?term=5015
ICAM3	ICAM3	intercellular adhesion molecule 3	3385	https://www.ncbi.nlm.nih.gov/gene/?term=3385
CD70	CD70	CD70 molecule	970	https://www.ncbi.nlm.nih.gov/gene/?term=970
CSTF2	CSTF2	cleavage stimulation factor subunit 2	1478	https://www.ncbi.nlm.nih.gov/gene/?term=1478
NTF4	NTF4	neurotrophin 4	4909	https://www.ncbi.nlm.nih.gov/gene/?term=4909
FUS	FUS	FUS RNA binding protein	2521	https://www.ncbi.nlm.nih.gov/gene/?term=2521
VHL	VHL	von Hippel-Lindau tumor suppressor	7428	https://www.ncbi.nlm.nih.gov/gene/?term=7428
APOBEC1	APOBEC1	apolipoprotein B mRNA editing enzyme catalytic subunit 1	339	https://www.ncbi.nlm.nih.gov/gene/?term=339
CDKN2A	CDKN2A	cyclin dependent kinase inhibitor 2A	1029	https://www.ncbi.nlm.nih.gov/gene/?term=1029
GATA4	GATA4	GATA binding protein 4	2626	https://www.ncbi.nlm.nih.gov/gene/?term=2626
BAG6	BAG6	BCL2 associated athanogene 6	7917	https://www.ncbi.nlm.nih.gov/gene/?term=7917
REG1B	REG1B	regenerating family member 1 beta	5968	https://www.ncbi.nlm.nih.gov/gene/?term=5968
NMU	NMU	neuromedin U	10874	https://www.ncbi.nlm.nih.gov/gene/?term=10874
HOXA1	HOXA1	homeobox A1	3198	https://www.ncbi.nlm.nih.gov/gene/?term=3198
CDKN1C	CDKN1C	cyclin dependent kinase inhibitor 1C	1028	https://www.ncbi.nlm.nih.gov/gene/?term=1028
MEOX2	MEOX2	mesenchyme homeobox 2	4223	https://www.ncbi.nlm.nih.gov/gene/?term=4223
RAD23A	RAD23A	RAD23 homolog A, nucleotide excision repair protein	5886	https://www.ncbi.nlm.nih.gov/gene/?term=5886
RAD23B	RAD23B	RAD23 homolog B, nucleotide excision repair protein	5887	https://www.ncbi.nlm.nih.gov/gene/?term=5887
NRL	NRL	neural retina leucine zipper	4901	https://www.ncbi.nlm.nih.gov/gene/?term=4901
MFAP2	MFAP2	microfibril associated protein 2	4237	https://www.ncbi.nlm.nih.gov/gene/?term=4237
BID	BID	BH3 interacting domain death agonist	637	https://www.ncbi.nlm.nih.gov/gene/?term=637
GSC	GSC	goosecoid homeobox	145258	https://www.ncbi.nlm.nih.gov/gene/?term=145258
SCAND1	SCAND1	SCAN domain containing 1	51282	https://www.ncbi.nlm.nih.gov/gene/?term=51282
SNRPN	SNRPN	small nuclear ribonucleoprotein polypeptide N	6638	https://www.ncbi.nlm.nih.gov/gene/?term=6638
RNF4	RNF4	ring finger protein 4	6047	https://www.ncbi.nlm.nih.gov/gene/?term=6047
CTAG1A	CTAG1A	cancer/testis antigen 1A	246100	https://www.ncbi.nlm.nih.gov/gene/?term=246100
SMAD3	SMAD3	SMAD family member 3	4088	https://www.ncbi.nlm.nih.gov/gene/?term=4088
PRR20C	PRR20C	proline rich 20C	729240	https://www.ncbi.nlm.nih.gov/gene/?term=729240
PRR20D	PRR20D	proline rich 20D	729246	https://www.ncbi.nlm.nih.gov/gene/?term=729246
RUNX1	RUNX1	runt related transcription factor 1	861	https://www.ncbi.nlm.nih.gov/gene/?term=861
SP4	SP4	Sp4 transcription factor	6671	https://www.ncbi.nlm.nih.gov/gene/?term=6671
SP3	SP3	Sp3 transcription factor	6670	https://www.ncbi.nlm.nih.gov/gene/?term=6670
RASSF7	RASSF7	Ras association domain family member 7	8045	https://www.ncbi.nlm.nih.gov/gene/?term=8045
EMX2	EMX2	empty spiracles homeobox 2	2018	https://www.ncbi.nlm.nih.gov/gene/?term=2018
LTB	LTB	lymphotoxin beta	4050	https://www.ncbi.nlm.nih.gov/gene/?term=4050
ZFP36L1	ZFP36L1	ZFP36 ring finger protein like 1	677	https://www.ncbi.nlm.nih.gov/gene/?term=677
KRTAP1-1	KRTAP1-1	keratin associated protein 1-1	81851	https://www.ncbi.nlm.nih.gov/gene/?term=81851
LOXL1	LOXL1	lysyl oxidase like 1	4016	https://www.ncbi.nlm.nih.gov/gene/?term=4016
DMPK	DMPK	DM1 protein kinase	1760	https://www.ncbi.nlm.nih.gov/gene/?term=1760
DBP	DBP	D-box binding PAR bZIP transcription factor	1628	https://www.ncbi.nlm.nih.gov/gene/?term=1628
FUT5	FUT5	fucosyltransferase 5	2527	https://www.ncbi.nlm.nih.gov/gene/?term=2527
TRO	TRO	trophinin	7216	https://www.ncbi.nlm.nih.gov/gene/?term=7216
TCF15	TCF15	transcription factor 15	6939	https://www.ncbi.nlm.nih.gov/gene/?term=6939
FOXC1	FOXC1	forkhead box C1	2296	https://www.ncbi.nlm.nih.gov/gene/?term=2296
DAZ2	DAZ2	deleted in azoospermia 2	57055	https://www.ncbi.nlm.nih.gov/gene/?term=57055
BIK	BIK	BCL2 interacting killer	638	https://www.ncbi.nlm.nih.gov/gene/?term=638
RUNX3	RUNX3	runt related transcription factor 3	864	https://www.ncbi.nlm.nih.gov/gene/?term=864
CIRBP	CIRBP	cold inducible RNA binding protein	1153	https://www.ncbi.nlm.nih.gov/gene/?term=1153
SELPLG	SELPLG	selectin P ligand	6404	https://www.ncbi.nlm.nih.gov/gene/?term=6404
HERPUD1	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1	9709	https://www.ncbi.nlm.nih.gov/gene/?term=9709
DAZAP2	DAZAP2	DAZ associated protein 2	9802	https://www.ncbi.nlm.nih.gov/gene/?term=9802
PMVK	PMVK	phosphomevalonate kinase	10654	https://www.ncbi.nlm.nih.gov/gene/?term=10654
RBMY1F	RBMY1F	RNA binding motif protein, Y-linked, family 1, member F	159163	https://www.ncbi.nlm.nih.gov/gene/?term=159163
SF3B4	SF3B4	splicing factor 3b subunit 4	10262	https://www.ncbi.nlm.nih.gov/gene/?term=10262
SF3A2	SF3A2	splicing factor 3a subunit 2	8175	https://www.ncbi.nlm.nih.gov/gene/?term=8175
SS18	SS18	SS18, nBAF chromatin remodeling complex subunit	6760	https://www.ncbi.nlm.nih.gov/gene/?term=6760
USF2	USF2	upstream transcription factor 2, c-fos interacting	7392	https://www.ncbi.nlm.nih.gov/gene/?term=7392
HSPB2	HSPB2	heat shock protein family B (small) member 2	3316	https://www.ncbi.nlm.nih.gov/gene/?term=3316
ADRM1	ADRM1	adhesion regulating molecule 1	11047	https://www.ncbi.nlm.nih.gov/gene/?term=11047
MRPL23	MRPL23	mitochondrial ribosomal protein L23	6150	https://www.ncbi.nlm.nih.gov/gene/?term=6150
BAK1	BAK1	BCL2 antagonist/killer 1	578	https://www.ncbi.nlm.nih.gov/gene/?term=578
AANAT	AANAT	aralkylamine N-acetyltransferase	15	https://www.ncbi.nlm.nih.gov/gene/?term=15
CTF1	CTF1	cardiotrophin 1	1489	https://www.ncbi.nlm.nih.gov/gene/?term=1489
POU2AF1	POU2AF1	POU class 2 associating factor 1	5450	https://www.ncbi.nlm.nih.gov/gene/?term=5450
ECSCR	ECSCR	endothelial cell surface expressed chemotaxis and apoptosis regulator	641700	https://www.ncbi.nlm.nih.gov/gene/?term=641700
LRRC26	LRRC26	leucine rich repeat containing 26	389816	https://www.ncbi.nlm.nih.gov/gene/?term=389816
RNF151	RNF151	ring finger protein 151	146310	https://www.ncbi.nlm.nih.gov/gene/?term=146310
CEACAM16	CEACAM16	carcinoembryonic antigen related cell adhesion molecule 16	388551	https://www.ncbi.nlm.nih.gov/gene/?term=388551
ALKBH6	ALKBH6	alkB homolog 6	84964	https://www.ncbi.nlm.nih.gov/gene/?term=84964
KRTAP13-3	KRTAP13-3	keratin associated protein 13-3	337960	https://www.ncbi.nlm.nih.gov/gene/?term=337960
DUSP28	DUSP28	dual specificity phosphatase 28	285193	https://www.ncbi.nlm.nih.gov/gene/?term=285193
TMEM52B	TMEM52B	transmembrane protein 52B	120939	https://www.ncbi.nlm.nih.gov/gene/?term=120939
KRTAP13-2	KRTAP13-2	keratin associated protein 13-2	337959	https://www.ncbi.nlm.nih.gov/gene/?term=337959
CMPK2	CMPK2	cytidine/uridine monophosphate kinase 2	129607	https://www.ncbi.nlm.nih.gov/gene/?term=129607
CRB2	CRB2	crumbs cell polarity complex component 2	286204	https://www.ncbi.nlm.nih.gov/gene/?term=286204
SPANXN2	SPANXN2	SPANX family member N2	494119	https://www.ncbi.nlm.nih.gov/gene/?term=494119
EXOSC6	EXOSC6	exosome component 6	118460	https://www.ncbi.nlm.nih.gov/gene/?term=118460
MUC21	MUC21	mucin 21, cell surface associated	394263	https://www.ncbi.nlm.nih.gov/gene/?term=394263
ARTN	ARTN	artemin	9048	https://www.ncbi.nlm.nih.gov/gene/?term=9048
LDLRAD1	LDLRAD1	low density lipoprotein receptor class A domain containing 1	388633	https://www.ncbi.nlm.nih.gov/gene/?term=388633
RNF187	RNF187	ring finger protein 187	149603	https://www.ncbi.nlm.nih.gov/gene/?term=149603
CPTP	CPTP	ceramide-1-phosphate transfer protein	80772	https://www.ncbi.nlm.nih.gov/gene/?term=80772
EMC10	EMC10	ER membrane protein complex subunit 10	284361	https://www.ncbi.nlm.nih.gov/gene/?term=284361
IER5	IER5	immediate early response 5	51278	https://www.ncbi.nlm.nih.gov/gene/?term=51278
RUSC1-AS1	RUSC1-AS1	RUSC1 antisense RNA 1	284618	https://www.ncbi.nlm.nih.gov/gene/?term=284618
KCTD11	KCTD11	potassium channel tetramerization domain containing 11	147040	https://www.ncbi.nlm.nih.gov/gene/?term=147040
DMKN	DMKN	dermokine	93099	https://www.ncbi.nlm.nih.gov/gene/?term=93099
WBP2NL	WBP2NL	WBP2 N-terminal like	164684	https://www.ncbi.nlm.nih.gov/gene/?term=164684
CHADL	CHADL	chondroadherin like	150356	https://www.ncbi.nlm.nih.gov/gene/?term=150356
SWSAP1	SWSAP1	SWIM-type zinc finger 7 associated protein 1	126074	https://www.ncbi.nlm.nih.gov/gene/?term=126074
FDX2	FDX2	ferredoxin 2	112812	https://www.ncbi.nlm.nih.gov/gene/?term=112812
GGT6	GGT6	gamma-glutamyltransferase 6	124975	https://www.ncbi.nlm.nih.gov/gene/?term=124975
VWA1	VWA1	von Willebrand factor A domain containing 1	64856	https://www.ncbi.nlm.nih.gov/gene/?term=64856
KRTAP26-1	KRTAP26-1	keratin associated protein 26-1	388818	https://www.ncbi.nlm.nih.gov/gene/?term=388818
TMEM88	TMEM88	transmembrane protein 88	92162	https://www.ncbi.nlm.nih.gov/gene/?term=92162
LRFN4	LRFN4	leucine rich repeat and fibronectin type III domain containing 4	78999	https://www.ncbi.nlm.nih.gov/gene/?term=78999
BLOC1S3	BLOC1S3	biogenesis of lysosomal organelles complex 1 subunit 3	388552	https://www.ncbi.nlm.nih.gov/gene/?term=388552
CRTC1	CRTC1	CREB regulated transcription coactivator 1	23373	https://www.ncbi.nlm.nih.gov/gene/?term=23373
PRSS57	PRSS57	serine protease 57	400668	https://www.ncbi.nlm.nih.gov/gene/?term=400668
AMTN	AMTN	amelotin	401138	https://www.ncbi.nlm.nih.gov/gene/?term=401138
SEZ6L2	SEZ6L2	seizure related 6 homolog like 2	26470	https://www.ncbi.nlm.nih.gov/gene/?term=26470
SIGLEC15	SIGLEC15	sialic acid binding Ig like lectin 15	284266	https://www.ncbi.nlm.nih.gov/gene/?term=284266
ADAMTSL5	ADAMTSL5	ADAMTS like 5	339366	https://www.ncbi.nlm.nih.gov/gene/?term=339366
RNF111	RNF111	ring finger protein 111	54778	https://www.ncbi.nlm.nih.gov/gene/?term=54778
RNF165	RNF165	ring finger protein 165	494470	https://www.ncbi.nlm.nih.gov/gene/?term=494470
PTF1A	PTF1A	pancreas associated transcription factor 1a	256297	https://www.ncbi.nlm.nih.gov/gene/?term=256297
BHLHA9	BHLHA9	basic helix-loop-helix family member a9	727857	https://www.ncbi.nlm.nih.gov/gene/?term=727857
GDF7	GDF7	growth differentiation factor 7	151449	https://www.ncbi.nlm.nih.gov/gene/?term=151449
SPATA12	SPATA12	spermatogenesis associated 12	353324	https://www.ncbi.nlm.nih.gov/gene/?term=353324
ISCA2	ISCA2	iron-sulfur cluster assembly 2	122961	https://www.ncbi.nlm.nih.gov/gene/?term=122961
RTN4RL2	RTN4RL2	reticulon 4 receptor like 2	349667	https://www.ncbi.nlm.nih.gov/gene/?term=349667
HRNR	HRNR	hornerin	388697	https://www.ncbi.nlm.nih.gov/gene/?term=388697
KRTAP11-1	KRTAP11-1	keratin associated protein 11-1	337880	https://www.ncbi.nlm.nih.gov/gene/?term=337880
KRTAP1-3	KRTAP1-3	keratin associated protein 1-3	81850	https://www.ncbi.nlm.nih.gov/gene/?term=81850
TRARG1	TRARG1	trafficking regulator of GLUT4 (SLC2A4) 1	286753	https://www.ncbi.nlm.nih.gov/gene/?term=286753
TP53INP2	TP53INP2	tumor protein p53 inducible nuclear protein 2	58476	https://www.ncbi.nlm.nih.gov/gene/?term=58476
PIANP	PIANP	PILR alpha associated neural protein	196500	https://www.ncbi.nlm.nih.gov/gene/?term=196500
OSCAR	OSCAR	osteoclast associated, immunoglobulin-like receptor	126014	https://www.ncbi.nlm.nih.gov/gene/?term=126014
PLD6	PLD6	phospholipase D family member 6	201164	https://www.ncbi.nlm.nih.gov/gene/?term=201164
FTMT	FTMT	ferritin mitochondrial	94033	https://www.ncbi.nlm.nih.gov/gene/?term=94033
ESX1	ESX1	ESX homeobox 1	80712	https://www.ncbi.nlm.nih.gov/gene/?term=80712
METTL27	METTL27	methyltransferase like 27	155368	https://www.ncbi.nlm.nih.gov/gene/?term=155368
EID2	EID2	EP300 interacting inhibitor of differentiation 2	163126	https://www.ncbi.nlm.nih.gov/gene/?term=163126
TPRX1	TPRX1	tetrapeptide repeat homeobox 1	284355	https://www.ncbi.nlm.nih.gov/gene/?term=284355
BOLL	BOLL	boule homolog, RNA binding protein	66037	https://www.ncbi.nlm.nih.gov/gene/?term=66037
TEX19	TEX19	testis expressed 19	400629	https://www.ncbi.nlm.nih.gov/gene/?term=400629
KREMEN2	KREMEN2	kringle containing transmembrane protein 2	79412	https://www.ncbi.nlm.nih.gov/gene/?term=79412
ZNRF1	ZNRF1	zinc and ring finger 1	84937	https://www.ncbi.nlm.nih.gov/gene/?term=84937
MAPK1IP1L	MAPK1IP1L	mitogen-activated protein kinase 1 interacting protein 1 like	93487	https://www.ncbi.nlm.nih.gov/gene/?term=93487
NOXO1	NOXO1	NADPH oxidase organizer 1	124056	https://www.ncbi.nlm.nih.gov/gene/?term=124056
ZNRF2	ZNRF2	zinc and ring finger 2	223082	https://www.ncbi.nlm.nih.gov/gene/?term=223082
IL17D	IL17D	interleukin 17D	53342	https://www.ncbi.nlm.nih.gov/gene/?term=53342
MPLKIP	MPLKIP	M-phase specific PLK1 interacting protein	136647	https://www.ncbi.nlm.nih.gov/gene/?term=136647
MUC7	MUC7	mucin 7, secreted	4589	https://www.ncbi.nlm.nih.gov/gene/?term=4589
FAM174A	FAM174A	family with sequence similarity 174 member A	345757	https://www.ncbi.nlm.nih.gov/gene/?term=345757
RNASEH2C	RNASEH2C	ribonuclease H2 subunit C	84153	https://www.ncbi.nlm.nih.gov/gene/?term=84153
TSKU	TSKU	tsukushi, small leucine rich proteoglycan	25987	https://www.ncbi.nlm.nih.gov/gene/?term=25987
NEU4	NEU4	neuraminidase 4	129807	https://www.ncbi.nlm.nih.gov/gene/?term=129807
NANOS1	NANOS1	nanos C2HC-type zinc finger 1	340719	https://www.ncbi.nlm.nih.gov/gene/?term=340719
FAM168A	FAM168A	family with sequence similarity 168 member A	23201	https://www.ncbi.nlm.nih.gov/gene/?term=23201
TFG	TFG	TRK-fused gene	10342	https://www.ncbi.nlm.nih.gov/gene/?term=10342
BAD	BAD	BCL2 associated agonist of cell death	572	https://www.ncbi.nlm.nih.gov/gene/?term=572
NAA80	NAA80	N(alpha)-acetyltransferase 80, NatH catalytic subunit	24142	https://www.ncbi.nlm.nih.gov/gene/?term=24142
WNT2B	WNT2B	Wnt family member 2B	7482	https://www.ncbi.nlm.nih.gov/gene/?term=7482
FATE1	FATE1	fetal and adult testis expressed 1	89885	https://www.ncbi.nlm.nih.gov/gene/?term=89885
PMEPA1	PMEPA1	prostate transmembrane protein, androgen induced 1	56937	https://www.ncbi.nlm.nih.gov/gene/?term=56937
VOPP1	VOPP1	VOPP1, WBP1/VOPP1 family member	81552	https://www.ncbi.nlm.nih.gov/gene/?term=81552
AKT1S1	AKT1S1	AKT1 substrate 1	84335	https://www.ncbi.nlm.nih.gov/gene/?term=84335
TMIGD2	TMIGD2	transmembrane and immunoglobulin domain containing 2	126259	https://www.ncbi.nlm.nih.gov/gene/?term=126259
ANKRD9	ANKRD9	ankyrin repeat domain 9	122416	https://www.ncbi.nlm.nih.gov/gene/?term=122416
PLEKHB2	PLEKHB2	pleckstrin homology domain containing B2	55041	https://www.ncbi.nlm.nih.gov/gene/?term=55041
EID2B	EID2B	EP300 interacting inhibitor of differentiation 2B	126272	https://www.ncbi.nlm.nih.gov/gene/?term=126272
NUDT16	NUDT16	nudix hydrolase 16	131870	https://www.ncbi.nlm.nih.gov/gene/?term=131870
INKA1	INKA1	inka box actin regulator 1	389119	https://www.ncbi.nlm.nih.gov/gene/?term=389119
FAM163A	FAM163A	family with sequence similarity 163 member A	148753	https://www.ncbi.nlm.nih.gov/gene/?term=148753
HES6	HES6	hes family bHLH transcription factor 6	55502	https://www.ncbi.nlm.nih.gov/gene/?term=55502
HPDL	HPDL	4-hydroxyphenylpyruvate dioxygenase like	84842	https://www.ncbi.nlm.nih.gov/gene/?term=84842
